0.1FPS/ 7022.3ms
MSAA 16X 
SMAA ULTRA 
Current Scene : Container 
150.6FPS/ 6.6ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
94.3FPS/ 10.6ms
143.8FPS/ 7.0ms
143.9FPS/ 6.9ms
144.1FPS/ 6.9ms
144.0FPS/ 6.9ms
144.1FPS/ 6.9ms
144.0FPS/ 6.9ms
143.6FPS/ 7.0ms
144.0FPS/ 6.9ms
144.4FPS/ 6.9ms
144.0FPS/ 6.9ms
143.6FPS/ 7.0ms
144.3FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
143.9FPS/ 6.9ms
144.0FPS/ 6.9ms
AA Method : SMAA 
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
143.9FPS/ 6.9ms
143.8FPS/ 7.0ms
144.2FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
143.9FPS/ 6.9ms
143.9FPS/ 6.9ms
144.1FPS/ 6.9ms
143.9FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
143.9FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
143.9FPS/ 6.9ms
144.1FPS/ 6.9ms
143.9FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
143.9FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
143.9FPS/ 6.9ms
144.0FPS/ 6.9ms
143.9FPS/ 6.9ms
144.1FPS/ 6.9ms
144.0FPS/ 6.9ms
144.0FPS/ 6.9ms
143.8FPS/ 7.0ms
143.8FPS/ 7.0ms
144.1FPS/ 6.9ms
144.2FPS/ 6.9ms
